id,name,position,description,inventory,manager
10,کلاف ۵۰۰ متری,M,کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری کلاف ۵۰۰ متری,2000,1
9,ترمینال MR16,M,"ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 
ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 ترمینال MR16 

ترمینال MR16 ترمینال MR16",300,1
8,برش سیم و پرچ,S,"برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ 

برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ برش سیم و پرچ",200,1
7,بسته بندی پلاتین زنی,S,"بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی 

بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی بسته بندی پلاتین زنی",300,1
6,کش بسته بندی,M,"کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی 

کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی کش بسته بندی",4000,1
5,سیم ترمینال خورده,M,"سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده 
سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده سیم ترمینال خورده",3000,1
4,مغزی سوکت هالوژن,M,"مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن 

مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن مغزی سوکت هالوژن",3000,1
3,مونتاژ نیرو خانگی,S,"مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی 
مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی مونتاژ نیرو خانگی",200,1
2,بسته بندی نیرو خانگی,S,"بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی 

بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی بسته بندی نیرو خانگی",200,1
1,سوکت هالوژن,P,"سوکت (پایه) لامپ سوزنی مرغوب با سیم مقاوم در برابر حرارت با طول 10 سانتی متر میباشد، این مدل سوکت دارای سر سیم تیغ خورده می باشد و هنگام نصب به سیم لخت کن نیازی نیست. ترمینال این سوکت از جنس سرامیک می باشد که باعث مقاومت بالا در برابر حرارت می گردد.
سوکت (پایه) لامپ سوزنی مرغوب با سیم مقاوم در برابر حرارت با طول
 10 سانتی متر میباشد، این مدل سوکت دارای سر سیم تیغ خورده می باشد و هنگام نصب به سیم لخت کن نیازی نیست. ترمینال این سوکت از جنس سرامیک می باشد که باعث مقاومت بالا در برابر حرارت می گردد.",1000,1
